Layer 1 weights,Layer 2 weights,Layer 3 weights,Layer 1 biases,Layer 2 biases,Layer 3 biases
-0.03273662,0.12494396,-0.05022621,0.022441158,-0.1287533,
0.0077164816,-0.19187407,0.13080472,0.0293079,0.052243017,
0.0060146754,-0.03742658,-0.1806792,0.05623191,0.13268186,
0.15443952,0.013868419,0.13142112,0.10194218,0.09921076,
0.5867365,0.2825243,0.11599097,0.10796779,-0.06864955,
0.24550973,0.0044903676,-0.22771746,-0.009911727,0.020961232,
0.18475555,0.086977914,0.05915676,0.105185054,0.008988085,
0.2227679,0.14689879,-0.115840286,-0.035162855,0.09230746,
0.294145,0.015710196,-0.16685759,0.04639989,0.15000658,
0.26475492,0.5411266,-0.0085910335,-0.027452886,,
0.20427224,0.09804704,0.18472598,0.04644486,,
0.29092526,0.06643383,0.06476711,-0.06483775,,
0.25826418,0.45678028,-0.11950208,0.017927296,,
0.24709733,-0.0034709887,-0.16597319,-0.002840414,,
0.1590668,-0.08738167,0.06815099,0.059944473,,
0.20577887,0.08569981,0.009458028,-0.04599797,,
0.17335458,0.21027443,-0.15702705,0.095378324,,
0.10512779,0.01698189,-0.120075606,-0.04504436,,
0.123217344,0.17854196,0.13893299,0.017290197,,
0.12731259,-0.12838161,0.11405055,-0.0020897014,,
0.12857983,-0.1757846,-0.045431256,0.024161085,,
0.11413662,0.83103955,-0.16949472,0.25076902,,
0.23835854,0.2551438,0.105002634,0.073728934,,
0.30045512,0.025354773,-0.111030534,0.02307157,,
0.29069474,0.002818406,-0.11275118,0.050777696,,
0.30807,0.081160665,0.055679068,-0.068583414,,
0.21663667,-0.04920842,-0.008963819,0.09948399,,
0.014583133,-0.02144792,0.12501721,0.03825337,,
0.011602185,0.11053575,-0.06229083,-0.034168378,,
0.0073646097,0.18527865,0.04142932,0.036277723,,
0.0023506114,0.018609945,-0.1452207,-0.026220147,,
0.14835857,0.09865438,-0.14632978,0.10335669,,
0.54191387,0.059747305,-0.09939131,-0.045975856,,
0.30678782,-0.028516985,-0.117512256,0.023510586,,
-0.08389141,0.08276025,0.06668896,-0.12128084,,
0.22430779,-0.014234201,0.31100544,0.058964625,,
0.21092655,-0.06787611,0.23868823,0.10721011,,
0.21319811,0.058344107,0.08615226,0.020461513,,
0.15971704,-0.028261403,-0.20002204,0.054375608,,
0.17074853,-0.58747405,0.12483283,-0.35399553,,
0.15545665,0.72131085,-0.13672511,-0.052780613,,
